id,name,guard_name,created_at,updated_at
1,ADMINISTRADOR,web,2024-11-13 07:39:30,2024-11-13 07:39:30
2,REGISTRADOR,web,2024-11-18 15:30:26,2024-11-18 15:30:26
4,VISOR,web,2024-12-02 15:59:19,2024-12-02 15:59:19
5,VALIDADOR,web,2025-04-16 10:07:19,2025-04-16 10:07:19
6,VERIFICADOR,web,2025-06-11 11:26:10,2025-06-11 11:26:10
